event_id,event_type,artifact_id,result,detail,timestamp,status
qa.o009.original-bridge-01-mastery-binding,graph-validation,artifact.input.original-bridge-01-mastery-ledger,pass,"3 exercises, 6 hints, 3 answers, 3 worked solutions; process-construction quota +3 with 1 remaining",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-01-reader-binding,build-binding,artifact.input.original-bridge-01-reader,pass,reader byte hash is bound by the complete site package manifest,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-01-source-binding,input-binding,artifact.input.original-bridge-01-source,pass,bytes=34418 sha256=bf37d6b746e617b5010a96be0c105e7f4ecd33e39a22b6a0f0528cd6b48cd164,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-02-mastery-binding,graph-validation,artifact.input.original-bridge-02-mastery-ledger,pass,"3 exercises, 6 hints, 3 answers, 3 worked solutions; integrative counterexample/literature-reading quota +3 with 3 remaining",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-02-reader-binding,build-binding,artifact.input.original-bridge-02-reader,pass,reader byte hash is bound by the complete site package manifest,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-02-source-binding,input-binding,artifact.input.original-bridge-02-source,pass,bytes=29971 sha256=f14bd9e7ad6a80079eb40609dd97f9768e08fae5bc638e9d5939666f53ad0acb,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-03-mastery-binding,graph-validation,artifact.input.original-bridge-03-mastery-ledger,pass,"3 exercises, 6 hints, 3 answers, 3 worked solutions; regular-conditional-probability quota +3; course original mastery count 9 with 27 remaining",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-03-reader-binding,build-binding,artifact.input.original-bridge-03-reader,pass,reader byte hash is bound by the complete site package manifest,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-03-source-binding,input-binding,artifact.input.original-bridge-03-source,pass,bytes=34016 sha256=d24d06e9c5e60c2d0a70ee0ff00fd0e2e7687e12a12404b6f7e903af76ccbe44,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-04-mastery-binding,graph-validation,artifact.input.original-bridge-04-mastery-ledger,pass,"3 exercises, 6 hints, 3 answers, 3 worked solutions; integrative counterexample/literature-reading quota +3 and complete; course original mastery count 12 with 24 remaining",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-04-reader-binding,build-binding,artifact.input.original-bridge-04-reader,pass,reader byte hash is bound by the complete site package manifest,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-bridge-04-source-binding,input-binding,artifact.input.original-bridge-04-source,pass,bytes=39925 sha256=be6de4f7b2fc63bbfee8be51b3dd8ac733edff5d58374c7a71891d0ab20d4bfd,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-lab-03-convergence-binding,graph-validation,artifact.input.target-lab-convergence-modes,pass,"source and reader hashes, one five-row deterministic R result, 13 stable-ID units, 2 exercises/2 hints/1 answer/2 solutions, separate CC BY 4.0 rights, and the dependency-only O006 boundary are bound",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-lab-04-conditional-martingale-binding,graph-validation,artifact.input.target-lab-conditional-martingale,pass,"source and reader hashes, one exact 18-column R result, 12 stable-ID units, 1 exercise/3 hints/1 answer/1 worked solution, four dependency-only Random theory edges, visible exact model and non-endorsement, and separate CC BY 4.0 rights are bound",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.original-lab-05-brownian-diagnostics-binding,graph-validation,artifact.input.target-lab-brownian-diagnostics,pass,"source and reader hashes, one exact 5-row by 15-column R result, 12 stable-ID units, 1 exercise/3 hints/1 answer/1 worked solution, two dependency-only Random/O006 edges, four existing outcome pairs, visible exact model/non-endorsement/no-copy notices, and separate CC BY 4.0 rights are bound",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-component-binding,build-binding,artifact.input.quantecon-component-receipt,pass,target=10ad2d5959aa0baca7a0472d06c0a3242e5a863cd49e88caa2884e1715043faa manifest=5a7253744a0247edd613f2bdf90c6d342f20c346dd03c388f00fba724eb5c41d,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-ergodicity-component-binding,build-binding,artifact.input.quantecon-ergodicity-component-receipt,pass,"target=5ae7f5f06befc5c71727da6c33678af5aac3fed523e9d547fb7a0577a1af61ad manifest=b2c5d1423bd5d0a898f462e7fb9245f2d03661f7e704c13660c9c76abeed9983 source=01c8f94e8016119107d6a3c14e688a0c1ed71690f678a2ae252703f7abccba84 notebook=e9daac187c07d8ba4d63cb43df2bb1874afa69a6095f91dd9f14a27c674fa881 topology={'code_cells': 4, 'equation_refs': ['allmocontract', 'asyms', 'chapkol_ct2', 'kfromqxx', 'kfromqxy', 'lambdafromq', 'mm1q', 'ptexpan', 'qkassum', 'rkassum', 'unifexp'], 'exercises': 3, 'headings': 15, 'labels': ['equivirr', 'ergodicity-ex-1', 'ergodicity-ex-2', 'ergodicity-ex-3', 'perimposs', 'sdrift', 'sfinite', 'stabskel', 'statfromq', 'strictcontract', 'uniirr'], 'proof_directives': 14, 'solutions': 3, 'source_figures': 0, 'standalone_labels': []} numerical_qa={'path': 'qa/QUANTECON_ERGODICITY_NUMERICAL_QA.json', 'sha256': 'b2571f0c59f067a3b6a4dc0d696a990d3dacfa3b78967c0ee1e4c539fc984eb6', 'status': 'pass'}",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-generators-component-binding,build-binding,artifact.input.quantecon-generators-component-receipt,pass,"target=db2fa074b9198d2722c8bba8adc69987ce4c5bf580a0119d7996ab0301fa1da0 manifest=ff0d088e83308078b266fec203eb7d7ba2a661e2dd5f32c8ea30ede2b78ec219 source=035caa76ccc07622b6d0564f7b72a2f02a2b5d276e2848a3612f9414232d6736 notebook=8ce748db97a5a38414277e8056ab3b6a6eac8900e3a97b44991ba722033099b1 topology={'code_cells': 0, 'equation_refs': ['abscp', 'czsg2', 'czsg3', 'defgenr', 'devlim', 'expdiffer', 'norml', 'opexpo', 'sgbound'], 'exercises': 3, 'headings': 12, 'labels': ['diffexpmap', 'ecuc', 'generators-ex-1', 'generators-ex-2', 'generators-ex-3', 'generators-prf-1', 'generators-prf-2', 'ucsgec'], 'proof_directives': 5, 'solutions': 3, 'source_figures': 0, 'standalone_labels': []}",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-kolmogorov-bwd-component-binding,build-binding,artifact.input.quantecon-kolmogorov-bwd-component-receipt,pass,target=da75cf5a8d92f9bab26df63232be8817913e5d77238b661cc12f230fe7c695ca manifest=5d556f4e9fd2e4b4a7a3f7e409c6a5fb7551f8cb2c3f4901860db2b189ecaf70,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-kolmogorov-fwd-component-binding,build-binding,artifact.input.quantecon-kolmogorov-fwd-component-receipt,pass,"target=19abc4dc6ef33c45917684bd487ffa367e36d929b3190960f96d7a7602cb6098 manifest=5767bf43d265c9a5a08550a2aef9b01ede2ab63c4c32b009754950e217355164 source_figure=[{'bytes': 104771, 'component_path': 'assets/kolmogorov_fwd-source-flow.png', 'path': 'authority\\quantecon\\source_snapshot\\continuous_time_mcs-8b06e0aa5a438692445b2c896f9d238c5a7d5eb7\\lectures\\_static\\lecture_specific\\markov_prop\\flow_fig.png', 'sha256': '54906c3f6f48664960d25ead98af1150014e88367db1d604f6ccc9d01e50564f'}] numerical_qa={'path': 'qa/QUANTECON_KOLMOGOROV_FWD_NUMERICAL_QA.json', 'sha256': 'c31c816a602590497d2f48b8b3d5a5e1ba0a9a5aa49651dffecbd59290b34ada', 'status': 'pass'}",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-markov-prop-component-binding,build-binding,artifact.input.quantecon-markov-prop-component-receipt,pass,target=82320a9bcc311726c7255398d9950c62adc106733dd2bcef9c400c7664543807 manifest=76b98358c99028e692472ccc90fe967f7068225f7be569258fbc0d7bca0171d4,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-poisson-component-binding,build-binding,artifact.input.quantecon-poisson-component-receipt,pass,target=8d0f457f3cad1b306e6fede93f390a514da5ec18a544bd22a9a4fdeccdcdea10 manifest=67613ec5a692c891b4fff469a0c6ead8871db50a314904158e121c249b464a83,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-rights-witness,rights-binding,artifact.input.quantecon-license,pass,QuantEcon component retains CC BY-SA 4.0 and attribution/non-endorsement notice,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.quantecon-uc-mc-semigroups-component-binding,build-binding,artifact.input.quantecon-uc-mc-semigroups-component-receipt,pass,"target=85dfca4029539025d63721950c74a03dab82c89e0841e3f91b0e7f426fab01f2 manifest=b97180faf533eb404b2b5f05afe051b66b0e0c6db10d9e6d109ae06b1859c8b6 source=cb5e67bc9a614a0169ba9b9bee479a0060b88401e0a7442154242af7bffd9b69 notebook=fd772f3a052aa9bba611bc5d419858256f1f390459e5c6cd681b6b9ebb58f9ef topology={'code_cells': 0, 'equation_refs': ['imislo', 'jcinmat', 'kfromqxx', 'kfromqxy', 'kolbackeq', 'kolbackeq_inf', 'mmismo', 'norml', 'poissemi', 'poissemi2', 'poissonq', 'propp'], 'exercises': 5, 'headings': 13, 'labels': ['imatjc', 'jccs', 'scintcon', 'uc-mc-semigroups-ex-1', 'uc-mc-semigroups-ex-2', 'uc-mc-semigroups-ex-3', 'uc-mc-semigroups-ex-4', 'uc-mc-semigroups-ex-5', 'uc-mc-semigroups-prf-1', 'usmg'], 'proof_directives': 7, 'solutions': 5, 'source_figures': 0, 'standalone_labels': []} numerical_qa={'path': 'qa/QUANTECON_UC_MC_SEMIGROUPS_NUMERICAL_QA.json', 'sha256': '6c960605fb9b83abd08bfb78c5b123d6b326119a79172db542c6f5bdac15da47', 'status': 'pass'}",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.rights-component-separation,rights-binding,artifact.input.zitkovic-license,pass,donor units use witnessed CC0; Indonesian adaptation units use CC-BY-4.0,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.theory-structure,structural-translation,artifact.input.first-boundary-builder,pass,"reader validator accepted topology, TeX, ids, and locale for 27 theory units",2026-08-29T16:49:55.089106+00:00,recorded
